"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 01일","134.599","122.856","138.377","117.900","223.97M","9.50%"
"2022년 03월 31일","122.919","120.824","129.547","119.991","219.28M","1.82%"
"2022년 03월 30일","120.727","111.708","125.149","107.203","222.82M","8.07%"
"2022년 03월 29일","111.709","105.864","115.688","105.572","143.96M","5.70%"
"2022년 03월 28일","105.689","107.093","113.871","105.257","136.07M","-1.31%"
"2022년 03월 27일","107.093","101.804","107.420","98.850","59.87M","5.20%"
"2022년 03월 26일","101.804","98.650","103.337","97.711","52.44M","3.20%"
"2022년 03월 25일","98.649","102.392","104.885","97.124","88.34M","-3.62%"
"2022년 03월 24일","102.350","94.915","103.718","93.497","116.97M","7.82%"
"2022년 03월 23일","94.924","90.462","96.285","89.296","88.02M","4.98%"
"2022년 03월 22일","90.424","88.610","93.956","88.024","64.13M","2.04%"
"2022년 03월 21일","88.620","88.607","91.287","86.834","61.34M","0.02%"
"2022년 03월 20일","88.606","92.396","92.584","87.987","48.97M","-4.14%"
"2022년 03월 19일","92.435","89.789","94.538","89.265","93.62M","2.94%"
"2022년 03월 18일","89.792","87.827","92.187","84.514","358.91M","2.25%"
"2022년 03월 17일","87.813","87.796","90.985","86.667","320.92M","0.02%"
"2022년 03월 16일","87.795","82.850","87.958","81.540","300.40M","5.97%"
"2022년 03월 15일","82.850","81.226","85.840","78.887","236.41M","2.00%"
"2022년 03월 14일","81.223","78.706","82.242","78.038","237.21M","3.00%"
"2022년 03월 13일","78.858","81.412","83.075","77.774","204.30M","-3.13%"
"2022년 03월 12일","81.402","80.665","82.706","80.595","140.50M","0.91%"
"2022년 03월 11일","80.665","82.872","84.275","80.106","272.33M","-2.66%"
"2022년 03월 10일","82.871","88.089","88.555","80.766","314.87M","-5.92%"
"2022년 03월 09일","88.089","82.284","89.792","81.961","397.72M","7.02%"
"2022년 03월 08일","82.308","81.660","84.990","81.345","306.26M","0.64%"
"2022년 03월 07일","81.786","84.549","86.564","80.054","363.89M","-3.26%"
"2022년 03월 06일","84.538","89.633","89.894","84.164","230.66M","-5.67%"
"2022년 03월 05일","89.623","88.288","91.141","86.014","204.27M","1.53%"
"2022년 03월 04일","88.275","95.649","96.850","87.088","386.32M","-7.71%"
"2022년 03월 03일","95.649","100.702","101.669","94.138","3.74M","-5.02%"
"2022년 03월 02일","100.702","98.630","106.335","96.899","6.19M","2.10%"
"2022년 03월 01일","98.630","99.705","101.807","94.434","5.56M","-1.08%"
"2022년 02월 28일","99.705","85.607","102.146","84.250","6.16M","16.47%"
"2022년 02월 27일","85.607","90.130","92.147","84.190","3.63M","-5.02%"
"2022년 02월 26일","90.130","92.778","94.877","89.366","3.18M","-2.85%"
"2022년 02월 25일","92.778","89.409","94.995","87.035","5.31M","3.77%"
"2022년 02월 24일","89.409","84.514","92.837","75.693","10.39M","5.90%"
"2022년 02월 23일","84.431","86.413","93.211","84.431","4.59M","-2.29%"
"2022년 02월 22일","86.413","82.879","87.380","81.160","4.22M","4.26%"
"2022년 02월 21일","82.879","90.693","95.988","82.806","5.64M","-8.52%"
"2022년 02월 20일","90.600","91.264","93.808","85.878","3.61M","-0.73%"
"2022년 02월 19일","91.264","89.920","92.553","88.760","1.83M","1.45%"
"2022년 02월 18일","89.960","93.591","96.334","89.474","3.02M","-3.88%"
"2022년 02월 17일","93.591","101.763","102.740","92.411","3.05M","-8.03%"
"2022년 02월 16일","101.763","105.352","105.558","98.315","3.24M","-3.41%"
"2022년 02월 15일","105.352","96.458","105.606","96.388","3.60M","9.22%"
"2022년 02월 14일","96.458","92.811","97.762","91.058","2.99M","3.93%"
"2022년 02월 13일","92.811","95.970","97.273","91.447","1.95M","-3.21%"
"2022년 02월 12일","95.891","96.483","99.750","93.254","2.76M","-0.61%"
"2022년 02월 11일","96.483","106.170","108.103","95.307","4.50M","-9.14%"
"2022년 02월 10일","106.190","113.991","114.930","105.816","4.14M","-6.84%"
"2022년 02월 09일","113.991","113.293","117.005","109.581","3.20M","0.62%"
"2022년 02월 08일","113.293","117.512","120.152","109.887","4.41M","-3.59%"
